combination,minutes,target,range size,min atr,net profit,max drawdown,profit/dd,total trades,percent profitable,max con loss,sharpe ratio
54,1.0,12.0,10.0,80.0,2486.0,1483.1499999999996,1.68,90.0,47.78,6.0,1.49
55,1.0,12.0,10.0,90.0,2334.0,746.75,3.13,60.0,50.0,4.0,1.67
56,1.0,12.0,20.0,50.0,1130.6,3361.949999999997,0.34,234.0,47.01,6.0,0.61
57,1.0,12.0,20.0,60.0,443.9,3118.2499999999964,0.14,221.0,46.61,6.0,0.41
58,1.0,12.0,20.0,70.0,96.39999999999998,3203.149999999996,0.03,196.0,46.94,6.0,0.28
59,1.0,12.0,20.0,80.0,-1163.8,2890.3500000000004,-0.4,168.0,45.83,6.0,-0.16
60,1.0,12.0,20.0,90.0,-341.1,2576.6499999999987,-0.13,121.0,47.11,6.0,0.06
61,1.0,12.0,30.0,50.0,1838.3,3361.949999999997,0.55,237.0,47.68,6.0,0.82
62,1.0,12.0,30.0,60.0,1151.6,3118.2499999999964,0.37,224.0,47.32,6.0,0.62
63,1.0,12.0,30.0,70.0,804.1,3203.149999999996,0.25,199.0,47.74,6.0,0.51
64,1.0,12.0,30.0,80.0,-456.1,2890.3500000000004,-0.16,171.0,46.78,6.0,0.08
65,1.0,12.0,30.0,90.0,130.7,2576.6499999999987,0.05,123.0,47.97,6.0,0.25
66,1.0,12.0,40.0,50.0,1315.1,3126.0499999999975,0.42,239.0,47.7,6.0,0.65
67,1.0,12.0,40.0,60.0,628.4,2882.3499999999967,0.22,226.0,47.35,6.0,0.45
68,1.0,12.0,40.0,70.0,280.9,2967.2499999999964,0.09,201.0,47.76,6.0,0.33
69,1.0,12.0,40.0,80.0,-979.3,2654.449999999999,-0.37,173.0,46.82,6.0,-0.09
70,1.0,12.0,40.0,90.0,-392.5,2340.749999999998,-0.17,125.0,48.0,6.0,0.04
71,1.0,12.0,50.0,50.0,1315.1,3126.0499999999975,0.42,239.0,47.7,6.0,0.65
72,1.0,12.0,50.0,60.0,628.4,2882.3499999999967,0.22,226.0,47.35,6.0,0.45
73,1.0,12.0,50.0,70.0,280.9,2967.2499999999964,0.09,201.0,47.76,6.0,0.33
74,1.0,12.0,50.0,80.0,-979.3,2654.449999999999,-0.37,173.0,46.82,6.0,-0.09
75,1.0,12.0,50.0,90.0,-392.5,2340.749999999998,-0.17,125.0,48.0,6.0,0.04
76,1.0,16.0,10.0,50.0,6398.3,974.649999999996,6.56,137.0,43.07,5.0,2.53
77,1.0,16.0,10.0,60.0,5850.2,890.9499999999971,6.57,128.0,42.97,5.0,2.39
78,1.0,16.0,10.0,70.0,5612.2,872.5499999999993,6.43,108.0,44.44,5.0,2.46
79,1.0,16.0,10.0,80.0,4496.0,1181.8500000000004,3.8,90.0,44.44,7.0,2.15
80,1.0,16.0,10.0,90.0,4734.0,698.4500000000007,6.78,60.0,50.0,4.0,2.68
81,1.0,16.0,20.0,50.0,5000.6,2272.25,2.2,234.0,43.16,6.0,1.49
82,1.0,16.0,20.0,60.0,3753.9,2188.5499999999993,1.72,221.0,42.53,7.0,1.19
83,1.0,16.0,20.0,70.0,3801.4,2221.9500000000135,1.71,196.0,43.37,6.0,1.24
84,1.0,16.0,20.0,80.0,1781.2,2753.149999999996,0.65,168.0,42.26,6.0,0.72
85,1.0,16.0,20.0,90.0,3548.9,1695.0499999999993,2.09,121.0,46.28,6.0,1.35
86,1.0,16.0,30.0,50.0,5948.3,2272.25,2.62,237.0,43.88,6.0,1.71
87,1.0,16.0,30.0,60.0,4701.6,2188.5499999999993,2.15,224.0,43.3,6.0,1.43
88,1.0,16.0,30.0,70.0,4749.1,2007.850000000013,2.37,199.0,44.22,6.0,1.49
89,1.0,16.0,30.0,80.0,2728.9,2753.149999999996,0.99,171.0,43.27,6.0,0.98
90,1.0,16.0,30.0,90.0,4180.7,1695.0499999999993,2.47,123.0,47.15,6.0,1.55
91,1.0,16.0,40.0,50.0,5505.1,1956.3500000000004,2.81,239.0,43.93,6.0,1.57
92,1.0,16.0,40.0,60.0,4258.4,1872.6499999999996,2.27,226.0,43.36,6.0,1.29
93,1.0,16.0,40.0,70.0,4305.9,2007.850000000015,2.14,201.0,44.28,6.0,1.34
94,1.0,16.0,40.0,80.0,2285.7,2437.2499999999964,0.94,173.0,43.35,6.0,0.84
